ip,country,city,timezone,loc,os,browser,os_version,browser_version,device
154.160.1.133,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.107.214.187,US,Seattle,America/Los_Angeles,"47.6151,-122.3447",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.107.214.62,US,Seattle,America/Los_Angeles,"47.6151,-122.3447",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.107.214.155,US,Seattle,America/Los_Angeles,"47.6151,-122.3447",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.107.214.153,US,Seattle,America/Los_Angeles,"47.6151,-122.3447",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
154.160.0.84,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
5.18.235.235,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Safari,10.13.6,13.0.4,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
217.66.159.132,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
94.140.205.54,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,IE,10,11.0,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.170,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
195.94.232.102,RU,Moscow,Europe/Moscow,"55.7522,37.6156",Mac OS X,Chrome,10.15.2,78.0.3904,not mobile
217.66.152.216,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.170,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.89,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
217.66.152.216,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
176.59.32.28,RU,Moscow,Europe/Moscow,"55.7522,37.6156",Android,Chrome Mobile,7.1.2,78.0.3904,mobile
185.33.199.170,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,7,77.0.3865,not mobile
185.97.201.170,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.33.199.170,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,7,79.0.3945,not mobile
83.219.136.95,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.136.168,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,77.0.3865,not mobile
83.219.146.246,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.136.172,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.146.199,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.136.87,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.147.176,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.146.147,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.147.69,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.146.49,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.146.35,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.146.38,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.147.226,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.136.69,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.136.217,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,77.0.3865,not mobile
83.219.146.209,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
83.219.136.177,RU,Kaliningrad,Europe/Kaliningrad,"54.7065,20.5110",Windows,Chrome,8.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
5.18.232.33,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,10,77.0.3865,not mobile
5.18.248.133,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,10,79.0.3945,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
78.155.212.56,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,8.1,79.0.3945,not mobile
78.155.212.56,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,8.1,78.0.3904,not mobile
78.155.212.56,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,8.1,78.0.3904,not mobile
78.155.212.56,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,8.1,79.0.3945,not mobile
78.155.212.56,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,8.1,78.0.3904,not mobile
185.97.201.170,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
217.66.152.216,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
85.114.27.150,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,7,76.0.3809,not mobile
85.114.27.150,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Windows,Chrome,7,79.0.3945,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
192.241.167.237,US,New York City,America/New_York,"40.7402,-73.9996",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.6.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
144.202.53.155,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Chrome,10.14.6,78.0.3904,not mobile
154.160.6.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
104.238.37.250,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.2.217,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.24.230,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
206.189.193.80,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.57,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
144.202.53.155,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.22.102,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
41.79.5.2,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.158,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.6.12,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,78.0.3904,not mobile
66.23.202.21,US,Hoboken,America/New_York,"40.7440,-74.0324",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.1.115,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,78.0.3904,not mobile
144.202.53.155,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Chrome,10.14.6,78.0.3904,not mobile
154.160.2.217,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.206,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.1.49,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.5.55,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,78.0.3904,not mobile
144.202.53.155,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Chrome,10.14.6,78.0.3904,not mobile
154.160.18.110,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.1.49,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.6.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.58,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.45.14,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.227.124,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.55.156,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.55.212,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.54.214,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.55.109,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.226.23,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.227.142,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.54.47,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.226.119,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.226.99,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.227.134,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.54.155,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
207.89.22.76,FR,Paris,Europe/Paris,"48.8567,2.3497",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.226.113,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.227.83,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.56,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.57,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.45.14,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
144.202.53.155,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
64.42.178.84,US,Secaucus,America/New_York,"40.7895,-74.0565",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
104.238.37.185,CA,Montréal,America/Toronto,"45.5088,-73.5878",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.205,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.34,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.2.217,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.206,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.209,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.2.217,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.206,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
64.42.178.82,US,Secaucus,America/New_York,"40.7895,-74.0565",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
66.23.202.19,US,Hoboken,America/New_York,"40.7440,-74.0324",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.24.50,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
64.42.178.84,US,Secaucus,America/New_York,"40.7895,-74.0565",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
64.42.178.86,US,Secaucus,America/New_York,"40.7895,-74.0565",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
66.23.202.18,US,Hoboken,America/New_York,"40.7440,-74.0324",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
102.176.94.107,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
192.241.167.237,US,New York City,America/New_York,"40.7402,-73.9996",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
64.42.178.84,US,Secaucus,America/New_York,"40.7895,-74.0565",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.25.125,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.18.182,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.10.46,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
206.189.193.80,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.6.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.26.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.2.217,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.32,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.177,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.73,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.34,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.178,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.35,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
14.1.28.213,US,Los Angeles,America/Los_Angeles,"34.0522,-118.2437",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.73,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.2.217,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.74,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.169,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
206.189.193.80,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
185.58.226.20,GB,Slough,Europe/London,"51.5095,-0.5954",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
142.93.71.242,US,Clifton,America/New_York,"40.8344,-74.1377",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.5.85,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.7.84,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
144.202.53.155,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.26.76,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.16.195,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.27.35,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.25.210,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
64.42.178.82,US,Secaucus,America/New_York,"40.7895,-74.0565",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.18.182,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
157.230.92.86,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.6.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
104.238.37.44,US,Boston,America/New_York,"42.3503,-71.0539",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.5.85,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.26.76,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
144.202.53.155,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
157.230.92.86,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
192.241.167.237,US,New York City,America/New_York,"40.7402,-73.9996",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
206.189.193.80,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.0.228,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.219,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.45.219,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.26.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
142.93.71.242,US,Clifton,America/New_York,"40.8344,-74.1377",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
157.230.92.86,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.20.237,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.6.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
104.238.37.196,US,Blain,America/New_York,"40.3384,-77.5125",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
197.210.58.35,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.1.115,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,78.0.3904,not mobile
192.241.167.237,US,New York City,America/New_York,"40.7402,-73.9996",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
142.93.71.242,US,Clifton,America/New_York,"40.8344,-74.1377",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
157.230.92.86,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.0.228,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
206.189.193.80,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.167,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.27.41,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
173.213.90.208,US,Houston,America/Chicago,"29.7633,-95.3633",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
192.241.167.237,US,New York City,America/New_York,"40.7402,-73.9996",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
206.189.193.80,US,North Bergen,America/New_York,"40.8043,-74.0121",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.6.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.6.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.26.248,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
64.42.178.83,US,Secaucus,America/New_York,"40.7895,-74.0565",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.20.167,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
154.160.18.162,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
104.238.37.49,US,Boston,America/New_York,"42.3503,-71.0539",Mac OS X,Chrome,10.14.6,77.0.3865,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
217.66.159.132,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
197.210.71.248,NG,Abuja,Africa/Lagos,"9.0579,7.4951",iOS,Mobile Safari,12.4.1,12.1.2,mobile
197.210.71.248,NG,Abuja,Africa/Lagos,"9.0579,7.4951",iOS,Mobile Safari,12.4.1,12.1.2,mobile
185.97.201.170,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
209.234.253.135,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Chrome,10.14.6,79.0.3945,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
217.66.152.216,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.89,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.170,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
217.66.159.132,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.89,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
79.139.152.166,RU,Moscow,Europe/Moscow,"55.7522,37.6156",Mac OS X,Chrome,10.14.6,78.0.3904,not mobile
79.139.152.166,RU,Moscow,Europe/Moscow,"55.7522,37.6156",Mac OS X,Chrome,10.14.6,79.0.3945,not mobile
79.139.152.166,RU,Moscow,Europe/Moscow,"55.7522,37.6156",Mac OS X,Chrome,10.14.6,78.0.3904,not mobile
